Expectation,Category,Case name,Correct,Remark
expected,semantic match,semantic_match_energy_alternative,yes,
expected,semantic match,semantic_match_force_alternative,yes,
expected,semantic match,semantic_match_power_alternative,yes,"The LLM recognizes that hp (horsepower) is non-SI and suggests correctly Watt."
expected,semantic match,semantic_match_pressure_alternative,yes,
expected,semantic match scale-invariant,semantic_match_scale_invariant_energy_kilo,yes,
expected,semantic match scale-invariant,semantic_match_scale_invariant_energy_milli,yes,
expected,semantic match scale-invariant,semantic_match_scale_invariant_force_kilo,yes,
expected,semantic match scale-invariant,semantic_match_scale_invariant_force_milli,yes,
expected,semantic match scale-invariant,semantic_match_scale_invariant_power_kilo,yes,
expected,semantic match scale-invariant,semantic_match_scale_invariant_power_milli,yes,
expected,semantic match scale-invariant,semantic_match_scale_invariant_pressure_kilo,yes,
expected,semantic match alternative,semantic_match_temperature_alternative,yes,
expected,semantic match without unit in description,semantic_match_without_unit_in_description_energy,yes,
expected,semantic match without unit in description,semantic_match_without_unit_in_description_force,yes,
expected,semantic match without unit in description,semantic_match_without_unit_in_description_power,yes,
expected,semantic match without unit in description,semantic_match_without_unit_in_description_pressure,yes,
expected,semantic match without unit in description,semantic_match_without_unit_in_description_temperature,yes,
unexpected,alternative instead unit in description,alternative_instead_unit_in_description_energy,yes,
unexpected,alternative instead unit in description,alternative_instead_unit_in_description_force,yes,
unexpected,alternative instead unit in description,alternative_instead_unit_in_description_power,yes,
unexpected,alternative instead unit in description,alternative_instead_unit_in_description_pressure,yes,
unexpected,alternative instead unit in description,alternative_instead_unit_in_description_temperature,yes,
unexpected,scale mismatch,scale_mismatch_energy,yes,
unexpected,scale mismatch,scale_mismatch_force,yes,
unexpected,scale mismatch,scale_mismatch_power,yes,
unexpected,scale mismatch,scale_mismatch_pressure,yes,
unexpected,semantic mismatch,semantic_mismatch_energy,yes,
unexpected,semantic mismatch,semantic_mismatch_force,yes,
unexpected,semantic mismatch,semantic_mismatch_power,yes,
unexpected,semantic mismatch,semantic_mismatch_pressure,yes,
unexpected,semantic mismatch,semantic_mismatch_temperature,yes,
