Expectation,Case name,Correct,Remark
expected,no_ambigiuity,yes,
expected,no_context_words_sense_disambiguation,yes,
expected,no_contradiction,yes,"The LLM suggests to homonogenize the wording to use the proper terminology for the description."
expected,no_negation_mismatch,no,"The LLM suggests changes in other properties of the Property Submodel Element."
expected,no_omission,yes,
expected,no_partial_overlap,yes,
expected,no_semantic_inversion,yes,
expected,no_syntax_error,yes,
expected,no_terminology_mismatch,yes,
expected,no_uncommon_phrasing,yes,
expected,paraphrase_synonymy,yes,
unexpected,ambigiuity,yes,
unexpected,context_words_sense_disambiguation,yes,
unexpected,contradiction,yes,
unexpected,negation_mismatch,yes,
unexpected,no_paraphrase_synonymy,yes,
unexpected,omission,yes,
unexpected,partial_overlap,yes,
unexpected,semantic_inversion,no,
unexpected,syntax_error,no,"No suggestion at all"
unexpected,terminology_mismatch,yes,
unexpected,uncommon_phrasing,yes,
