Expectation,Case name,Correct,Remark
expected,context_words_sense_disambiguation,yes,"LLM suggests to include 'output' into the id short. This is consistent with decisions in description_to_display_name"
expected,no_ambiguity,yes,
expected,no_contradiction,yes,"LLM suggests the use of a better id short that hints the property type."
expected,no_negation_mismatch,yes,
expected,no_omission,yes,"LLM suggests the use of a better id short that hints the property type (range); this is consistent with description_to_display_name."
expected,no_paraphrase_synonymy,yes,
expected,no_partial_overlap,no,"The LLM is overspecific"
expected,no_terminology_mismatch,yes,
expected,no_uncommon_phrasing,yes,
expected,semantic_inversion,yes,
expected,syntax,yes,
unexpected,ambiguity,yes,
unexpected,context_words_sense_disambiguation,yes,
unexpected,contradiction,yes,
unexpected,negation_mismatch,yes,
unexpected,omission,no,"The LLM is overspecific."
unexpected,paraphrase_synonymy,yes,
unexpected,partial_overlap,yes,
unexpected,semantic_inversion,yes,
unexpected,syntax,yes,
unexpected,terminology_mismatch,yes,
unexpected,uncommon_phrasing,yes,
